Index,Time,Cmt,wt1,wt2,rsiMFI
143,2021-09-04 06:30,LongCond,-44.00674934558669,-53.517080003620755,19.05205665125349
510,2021-09-11 22:00,ShortCond,51.58385857779985,57.25688672890545,-0.6597535826443888
763,2021-09-17 04:30,LongCond,-57.99566399320298,-62.71184067746328,1.4187690965119946
1025,2021-09-22 15:30,ShortCond,56.51491809297201,57.17999222494865,-13.064405780153828
1043,2021-09-23 00:30,ShortCond,71.27262093985414,73.69630955079676,-5.076766416282183
1045,2021-09-23 01:30,ShortCond,69.5687566193494,71.82908333255635,-1.3909623446968624
1149,2021-09-25 05:30,ShortCond,58.65653692982896,59.51057962331756,-1.8068900589021306
1355,2021-09-29 12:30,ShortCond,55.18278959008963,55.229619222642306,-0.5528983869003505
1821,2021-10-09 05:30,LongCond,-55.236011349739265,-57.117967324030325,1.4996305047151557
3054,2021-11-03 22:00,LongCond,-55.07524041457209,-59.68874007426993,3.0117676225218926
3812,2021-11-19 17:00,ShortCond,67.10509321895081,68.55050071244091,-20.893680194717835
3823,2021-11-19 22:30,ShortCond,68.99895615595042,70.34539563048182,-8.588946786603838
4139,2021-11-26 12:30,LongCond,-62.8266949354521,-63.27125218849337,18.941217334210343
4186,2021-11-27 12:00,ShortCond,54.85109079355033,54.99016987384454,-24.31753983817551
4553,2021-12-05 03:30,ShortCond,68.23922990721695,68.61211968153968,-3.605864332499194
4698,2021-12-08 04:00,LongCond,-51.75988617443722,-53.485612737510365,17.530110919856284
4883,2021-12-12 00:30,ShortCond,54.284579577419294,60.95215501619003,-0.8226820126221506
5138,2021-12-17 08:00,LongCond,-59.803459415200564,-64.38553644280229,0.09341592324992964
5324,2021-12-21 05:00,ShortCond,69.48883117736997,75.29965028416453,-8.879633621343384
5404,2021-12-22 21:00,LongCond,-74.92164128401508,-79.09376599834972,0.6162774548359571
5636,2021-12-27 17:00,LongCond,-51.2135821310291,-60.81300851521119,12.045556561685624
5786,2021-12-30 20:00,ShortCond,66.89747566309167,67.089769612896,-11.892554531122165
5800,2021-12-31 03:00,ShortCond,55.63987623249238,59.07667559445499,-5.051539740354465
5894,2022-01-02 02:00,ShortCond,54.627804517010986,56.751770950217036,-6.992860736368709
6344,2022-01-11 11:00,ShortCond,62.39710875361544,62.84270839037089,-16.641275086587406
6440,2022-01-13 11:00,LongCond,-48.26189846635259,-55.63858676358925,15.892461473457356
6784,2022-01-20 15:00,ShortCond,47.93086656697933,53.710796513104036,-6.743845611507956
6932,2022-01-23 17:00,ShortCond,70.65050998380718,72.13128053435896,-13.312276976782584
7004,2022-01-25 05:00,ShortCond,57.43819445123684,58.94949725913718,-11.854847826180015
7292,2022-01-31 05:00,LongCond,-59.93018803434566,-60.26748963549619,5.132546341530455
7716,2022-02-09 01:00,LongCond,-52.03347127336225,-55.43767199688322,9.69434179616543
7787,2022-02-10 12:30,LongCond,-62.07168637782709,-62.12376588276742,3.564535185353452
7819,2022-02-11 04:30,LongCond,-53.77204051460178,-53.98030610220593,1.2134563456298797
7853,2022-02-11 21:30,ShortCond,51.547202065775934,57.23733403664468,-2.5093249502386885
7948,2022-02-13 21:00,ShortCond,56.47705366816634,56.61663435338833,-5.669106402716306
7998,2022-02-14 22:00,ShortCond,73.53996051702039,77.27565451308357,-0.03414146345021374
8180,2022-02-18 17:00,ShortCond,53.317420570135305,57.82294478065105,-6.571736012957532
8311,2022-02-21 10:30,ShortCond,55.47366568590987,56.91469154867608,-5.738436072931073
8315,2022-02-21 12:30,ShortCond,56.47965554358686,56.78005512004512,-8.423657760723316
8384,2022-02-22 23:00,ShortCond,51.41569573721304,59.86470931265125,-13.164228083761161
8482,2022-02-25 00:00,ShortCond,61.54819887964938,63.58012909700691,-30.772047040310422
8900,2022-03-05 17:00,ShortCond,61.027432947398246,66.32624802252892,-9.365678675832712
8906,2022-03-05 20:00,ShortCond,54.41359562027546,62.19719307551032,-10.16388762640417
8921,2022-03-06 03:30,ShortCond,54.50134277919843,57.19825791086026,-8.783681472858046
9115,2022-03-10 04:30,LongCond,-57.563910649659356,-59.041387757320685,15.773210866007513
9748,2022-03-23 09:00,LongCond,-58.70147373629874,-68.16119657561144,0.2356413436494491
9755,2022-03-23 12:30,LongCond,-60.89950220828743,-65.08448486123329,2.289562016608267
